player_id,player_name,birthday,height,weight
505942,Aaron Appindangoye,2/29/92 0:00,182.88,187
155782,Aaron Cresswell,12/15/89 0:00,170.18,146
162549,Aaron Doran,5/13/91 0:00,170.18,163
30572,Aaron Galindo,5/8/82 0:00,182.88,198
23780,Aaron Hughes,11/8/79 0:00,182.88,154
27316,Aaron Hunt,9/4/86 0:00,182.88,161
564793,Aaron Kuhl,1/30/96 0:00,172.72,146
30895,Aaron Lennon,4/16/87 0:00,165.1,139
528212,Aaron Lennox,2/19/93 0:00,190.5,181
101042,Aaron Meijers,10/28/87 0:00,175.26,170
23889,Aaron Mokoena,11/25/80 0:00,182.88,181
231592,Aaron Mooy,9/15/90 0:00,175.26,150
163222,Aaron Muirhead,8/30/90 0:00,187.96,168
40719,Aaron Niguez,4/26/89 0:00,170.18,143
75489,Aaron Ramsey,12/26/90 0:00,177.8,154
597948,Aaron Splaine,10/13/96 0:00,172.72,163
161644,Aaron Taylor-Sinclair,4/8/91 0:00,182.88,176
23499,Aaron Wilbraham,10/21/79 0:00,190.5,159
120919,Aatif Chahechouhe,7/2/86 0:00,175.26,150
46447,Abasse Ba,7/12/76 0:00,187.96,185
167027,Abdelaziz Barrada,6/19/89 0:00,177.8,161
245653,Abdelfettah Boukhriss,10/22/86 0:00,185.42,161
128456,Abdelhamid El Kaoutari,3/17/90 0:00,180.34,161
42664,Abdelkader Ghezzal,12/5/84 0:00,182.88,172
425950,Abdellah Zoubir,12/5/91 0:00,180.34,161
38423,Abdelmajid Oulmers,9/12/78 0:00,172.72,143
3264,Abdelmalek Cherrad,1/14/81 0:00,185.42,165
467485,Abdelmalek El Hasnaoui,2/9/94 0:00,180.34,159
306735,Abdelouahed Chakhsi,10/1/86 0:00,182.88,170
41659,Abderrazak Jadid,6/1/83 0:00,177.8,157
31684,Abdeslam Ouaddou,11/1/78 0:00,190.5,181
32637,Abdessalam Benjelloun,1/28/85 0:00,187.96,179
563215,Abdou Diallo,5/4/96 0:00,182.88,159
41093,Abdou Traore,1/17/88 0:00,180.34,174
564712,Abdoul Ba,2/8/94 0:00,200.66,212
67334,Abdoul Karim Yoda,10/25/88 0:00,182.88,161
173955,Abdoul Razzagui Camara,2/20/90 0:00,177.8,157
39562,Abdoulay Konko,3/9/84 0:00,182.88,157
191784,Abdoulaye Ba,1/1/91 0:00,198.12,174
210400,Abdoulaye Bamba,4/25/90 0:00,182.88,150
201915,Abdoulaye Diaby,5/21/91 0:00,172.72,154
194479,"Abdoulaye Diallo Sadio,22",12/28/90 0:00,182.88,168
189181,Abdoulaye Diallo,3/30/92 0:00,187.96,174
352887,Abdoulaye Doucoure,1/1/93 0:00,182.88,165
40005,Abdoulaye Faye,2/26/78 0:00,187.96,218
409003,Abdoulaye Keita,1/5/94 0:00,175.26,165
37280,Abdoulaye Meite,10/6/80 0:00,185.42,181
439366,Abdoulaye Toure,3/3/94 0:00,187.96,170
148827,Abdoulwahid Sissoko,3/20/90 0:00,182.88,165
173011,Abdourahman Dampha,12/27/91 0:00,182.88,168
419681,Abdul Aziz Tetteh,2/10/89 0:00,182.88,190
196947,Abdul Majeed Waris,9/19/91 0:00,172.72,157
89405,Abdul Osman,2/27/87 0:00,182.88,154
324910,Abdul Rahman Baba,7/2/94 0:00,177.8,154
67952,Abdul-Yakinu Iddi,5/25/86 0:00,172.72,146
31012,Abdulkader Keita,8/6/81 0:00,182.88,172
176301,Abdulla Fatadi,11/2/85 0:00,175.26,172
307227,Abdullah Al Hafith,12/25/92 0:00,187.96,165
176302,Abdullah Omar,1/1/87 0:00,175.26,157
525595,Abdullahi Shehu,3/12/93 0:00,180.34,159
24385,Abel Aguilar,1/6/85 0:00,185.42,176
29904,Abel Gomez,2/20/82 0:00,182.88,165
105548,Abel Hernandez,8/8/90 0:00,185.42,161
172875,Abel Issa Camara,1/6/90 0:00,185.42,179
302985,Abel Khaled,11/9/92 0:00,180.34,148
240556,Abel Tamata,12/5/90 0:00,182.88,170
40938,Abel,12/22/78 0:00,177.8,165
37422,Abella Perez Damia,4/15/82 0:00,187.96,174
114503,Abiola Dauda,2/3/88 0:00,180.34,165
27277,Abou Diaby,5/11/86 0:00,193.04,168
181344,Aboubacar Tandia,10/5/83 0:00,193.04,185
581141,Aboubakar Kamara,3/7/95 0:00,177.8,168
80592,Aboubakar Oumarou,4/1/87 0:00,182.88,168
165706,Abraham Gonzalez,7/16/85 0:00,177.8,176
210453,Abraham Guie Gneki,7/25/86 0:00,180.34,154
208635,Abraham Kudemor,2/25/85 0:00,182.88,179
213695,Abraham Minero,2/22/86 0:00,175.26,157
33715,Abraham Paz Cruz,3/14/79 0:00,177.8,165
41489,Achille Coser,7/14/82 0:00,185.42,174
25571,Achille Emana,6/5/82 0:00,180.34,170
660145,Achille Vaarnold,1/26/96 0:00,175.26,157
45960,Achmed Ahahaoui,12/6/83 0:00,177.8,152
293235,Achraf Lazaar,9/22/92 0:00,182.88,168
34487,Aco Stojkov,4/29/83 0:00,177.8,165
26331,Adailton,4/14/83 0:00,190.5,187
41749,Adailton,1/24/77 0:00,175.26,161
495841,Adalberto Penaranda,5/31/97 0:00,182.88,172
519835,Adam Armstrong,2/10/97 0:00,172.72,152
68840,Adam Banas,12/25/82 0:00,185.42,174
27534,Adam Bodzek,9/7/85 0:00,182.88,174
157303,Adam Bogdan,9/27/87 0:00,193.04,198
563198,Adam Brown,6/9/95 0:00,177.8,141
557396,Adam Buksa,7/12/96 0:00,190.5,172
365666,Adam Campbell,1/1/95 0:00,170.18,161
180197,Adam Collin,12/9/84 0:00,190.5,172
310346,Adam Cummins,3/3/93 0:00,187.96,172
68962,Adam Danch,12/15/87 0:00,182.88,179
429870,Adam Deja,6/24/93 0:00,185.42,181
23133,Adam Drury,8/29/78 0:00,180.34,161
420209,Adam Drury,9/9/93 0:00,177.8,152
308280,Adam Duda,4/29/91 0:00,187.96,170
361712,Adam Dzwigala,9/25/95 0:00,185.42,176
38617,Adam Federici,1/31/85 0:00,187.96,198
173993,Adam Fraczczak,8/7/87 0:00,182.88,168
277313,Adam Gyurcso,3/6/91 0:00,180.34,132
40568,Adam Hammill,1/25/88 0:00,177.8,163
281079,Adam Henley,6/14/94 0:00,177.8,170
89240,Adam Hlousek,12/20/88 0:00,187.96,168
24159,Adam Johnson,7/14/87 0:00,175.26,139
414208,Adam King,10/11/95 0:00,180.34,165
43317,Adam Kokoszka,10/6/86 0:00,187.96,181
37234,Adam Lallana,5/10/88 0:00,172.72,161
24952,Adam Le Fondre,12/2/86 0:00,175.26,161
209372,Adam Maher,7/20/93 0:00,175.26,143
69518,Adam Marciniak,9/28/88 0:00,182.88,181
478447,Adam Marusic,10/17/92 0:00,177.8,179
