country_id,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA,home_win_prob,away_win_prob,draw_win_prob,GoalDiff
1,1,2008/2009,27,3/22/09 0:00,493044,9986,9985,1,0,95597.0,,,37571.0,94462.0,38246.0,38423.0,38435.0,131409.0,38419.0,164732.0,,30692.0,38800.0,37861.0,47411.0,37262.0,35412.0,39631.0,39591.0,25957.0,38369.0,4.75,3.5,1.66,4.8,3.6,1.6,4.6,3.4,1.6,4.33,3.4,1.67,,,,4.5,3.3,1.67,4.75,3.4,1.7,4.5,3.3,1.7,4.5,3.5,1.67,4.75,3.4,1.67,0.19162269129287599,0.5483179419525066,0.2600593667546174,1
1,1,2008/2009,8,10/19/08 0:00,492547,10000,8635,4,0,,,,,,,,,,,,,,,,,,,,,,,4.75,3.5,1.75,4.55,3.35,1.68,4.0,3.3,1.7,4.0,3.4,1.73,,,,4.2,3.3,1.7,4.75,3.4,1.75,4.5,3.3,1.7,4.4,3.4,1.73,4.5,3.4,1.7,0.1971830985915493,0.5352112676056339,0.26760563380281693,4
1,1,2009/2010,11,10/17/09 0:00,665435,10001,9985,2,0,38341.0,38349.0,39848.0,38343.0,37953.0,21834.0,38778.0,67896.0,182605.0,37025.0,25619.0,38797.0,25995.0,37861.0,47411.0,129462.0,32573.0,37262.0,35412.0,26224.0,148335.0,38369.0,5.5,3.5,1.6,5.5,3.5,1.55,4.4,3.5,1.6,5.0,3.3,1.62,,,,5.0,3.6,1.62,5.5,3.4,1.67,5.5,3.4,1.6,5.0,3.4,1.65,4.75,3.4,1.67,0.1664190193164933,0.5720653789004457,0.2615156017830609,2
1,1,2009/2010,16,11/29/09 0:00,665588,9997,9985,2,0,37868.0,33595.0,3329.0,104415.0,149150.0,38354.0,37866.0,5016.0,,68120.0,,38797.0,37861.0,47411.0,119117.0,159888.0,39580.0,26224.0,39591.0,148335.0,37262.0,178484.0,5.0,3.5,1.73,4.9,3.4,1.65,4.0,3.3,1.7,5.0,3.5,1.57,,,,4.8,3.5,1.67,4.75,3.5,1.75,4.33,3.3,1.75,4.5,3.4,1.7,4.33,3.4,1.7,0.18801428349635152,0.5433938829374321,0.2685918335662164,2
1,1,2010/2011,27,2/20/11 0:00,838827,10001,8635,2,0,37839.0,39848.0,43049.0,67896.0,209782.0,38343.0,38778.0,67890.0,182605.0,181066.0,37025.0,38391.0,13423.0,38389.0,69713.0,94553.0,69653.0,38393.0,38253.0,38383.0,46552.0,181276.0,4.75,3.4,1.7,4.75,3.5,1.65,4.6,3.4,1.6,5.0,3.5,1.57,,,,6.0,3.75,1.53,5.0,3.6,1.7,5.0,3.6,1.73,4.5,3.4,1.73,5.0,3.5,1.62,0.19263456090651557,0.538243626062323,0.2691218130311615,2
1,1,2010/2011,3,8/15/10 0:00,838500,9984,8342,3,1,36835.0,38342.0,38789.0,37051.0,38186.0,27110.0,166670.0,191787.0,38251.0,173449.0,197570.0,37990.0,36832.0,27508.0,42594.0,47411.0,35412.0,37979.0,163670.0,52280.0,38366.0,75405.0,5.0,3.75,1.67,5.0,3.6,1.6,4.3,3.3,1.7,5.0,3.5,1.57,,,,5.25,3.5,1.62,5.0,3.75,1.65,4.75,3.5,1.62,4.75,3.4,1.67,4.75,3.4,1.67,0.18771075309104535,0.562008242787561,0.2502810041213938,2
1,1,2011/2012,1,7/29/11 0:00,1032692,1773,8635,2,1,37993.0,37865.0,37051.0,45840.0,179059.0,37981.0,38791.0,37963.0,38777.0,45865.0,68114.0,38391.0,38389.0,208493.0,149150.0,40536.0,38253.0,114333.0,178249.0,265123.0,46552.0,181276.0,7.0,4.0,1.5,6.5,4.1,1.42,5.0,3.7,1.5,5.5,3.6,1.5,,,,5.5,3.75,1.57,6.0,3.6,1.57,7.0,4.0,1.5,6.0,3.75,1.5,6.5,4.0,1.44,0.1348314606741573,0.6292134831460674,0.23595505617977527,1
1,1,2011/2012,17,12/9/11 0:00,1032825,8203,8635,2,1,39573.0,80184.0,67941.0,39389.0,38956.0,154433.0,277813.0,37112.0,178291.0,67959.0,39145.0,38391.0,38389.0,13423.0,148302.0,69653.0,40536.0,38253.0,265123.0,46552.0,37262.0,37069.0,5.5,4.2,1.55,5.5,3.7,1.6,4.6,3.4,1.6,5.0,3.5,1.57,,,,5.5,3.6,1.57,5.25,3.6,1.62,6.0,4.0,1.53,5.25,3.6,1.6,5.5,3.6,1.57,0.17070932214501117,0.6057427559984266,0.2235479218565622,1
1,1,2011/2012,18,12/18/11 0:00,1032832,1773,8342,3,1,131408.0,45840.0,37051.0,94419.0,277840.0,38323.0,37963.0,39578.0,38777.0,68114.0,287232.0,104378.0,28133.0,71765.0,36832.0,42594.0,31294.0,14557.0,38336.0,113868.0,38366.0,33657.0,6.0,3.8,1.57,5.25,3.8,1.6,4.5,3.3,1.65,5.0,3.5,1.57,,,,4.8,3.75,1.62,4.5,3.75,1.67,6.0,4.2,1.53,5.25,3.6,1.6,5.5,3.75,1.57,0.15623526947048658,0.5970774629445347,0.2466872675849788,2
1,1,2011/2012,20,1/14/12 0:00,1032850,9989,9991,2,1,20747.0,36844.0,41947.0,174546.0,149174.0,39931.0,181071.0,32760.0,213111.0,178488.0,181073.0,37854.0,37667.0,37440.0,109332.0,178096.0,27421.0,33662.0,26771.0,166618.0,12574.0,164732.0,5.0,3.75,1.67,5.25,3.7,1.62,4.4,3.3,1.65,4.5,3.5,1.62,,,,4.8,3.5,1.67,5.0,3.5,1.67,5.5,3.8,1.62,5.0,3.75,1.6,5.0,3.6,1.62,0.18771075309104535,0.562008242787561,0.2502810041213938,1
